"","student_id","subsection","lecture_points","video_seconds"
"539",33,"Lecture 4",0,0
"540",33,"Lecture 5",0,0
"541",33,"Lecture 6",0,0
"542",33,"Lecture 7",0,0
"543",33,"Lecture 8",0,0
"544",33,"Lecture 9",0,0
"545",34,"Lecture 1",2,478
"546",34,"Lecture 10",0,0
"547",34,"Lecture 11",0,0
"548",34,"Lecture 12",0,0
"549",34,"Lecture 13",0,0
"550",34,"Lecture 14",0,0
"551",34,"Lecture 15",0,0
"552",34,"Lecture 16",0,0
"553",34,"Lecture 2",0,0
"554",34,"Lecture 3",0,0
"555",34,"Lecture 4",0,0
"556",34,"Lecture 5",0,0
"557",34,"Lecture 6",0,0
"558",34,"Lecture 7",0,0
"559",34,"Lecture 8",0,0
"560",34,"Lecture 9",0,0
"561",35,"Lecture 1",0,115
"562",35,"Lecture 10",0,0
"563",35,"Lecture 11",0,0
"564",35,"Lecture 12",0,0
"565",35,"Lecture 13",0,0
"566",35,"Lecture 14",0,0
"567",35,"Lecture 15",0,0
"568",35,"Lecture 16",0,0
"569",35,"Lecture 2",0,0
"570",35,"Lecture 3",0,0
"571",35,"Lecture 4",0,0
"572",35,"Lecture 5",0,0
"573",35,"Lecture 6",0,0
"574",35,"Lecture 7",0,0
"575",35,"Lecture 8",0,0
"576",35,"Lecture 9",0,0
"577",36,"Lecture 1",2,916
"578",36,"Lecture 10",0,0
"579",36,"Lecture 11",0,0
"580",36,"Lecture 12",0,0
"581",36,"Lecture 13",0,0
"582",36,"Lecture 14",0,0
"583",36,"Lecture 15",0,0
"584",36,"Lecture 16",0,0
"585",36,"Lecture 2",1,0
"586",36,"Lecture 3",0,0
"587",36,"Lecture 4",0,0
"588",36,"Lecture 5",0,0
"589",36,"Lecture 6",0,0
"590",36,"Lecture 7",0,0
"591",36,"Lecture 8",0,0
"592",36,"Lecture 9",0,0
"593",37,"Lecture 1",0,0
"594",37,"Lecture 10",0,0
"595",37,"Lecture 11",0,0
"596",37,"Lecture 12",0,0
"597",37,"Lecture 13",0,0
"598",37,"Lecture 14",0,0
"599",37,"Lecture 15",0,0
"600",37,"Lecture 16",0,0
"601",37,"Lecture 2",0,0
"602",37,"Lecture 3",0,0
"603",37,"Lecture 4",0,0
"604",37,"Lecture 5",0,0
"605",37,"Lecture 6",0,0
"606",37,"Lecture 7",0,0
"607",37,"Lecture 8",0,0
"608",37,"Lecture 9",0,0
"609",38,"Lecture 1",2,1548
"610",38,"Lecture 10",0,0
"611",38,"Lecture 11",0,0
"612",38,"Lecture 12",0,0
"613",38,"Lecture 13",0,0
"614",38,"Lecture 14",0,0
"615",38,"Lecture 15",0,0
"616",38,"Lecture 16",0,0
"617",38,"Lecture 2",0,907
"618",38,"Lecture 3",0,69
"619",38,"Lecture 4",0,0
"620",38,"Lecture 5",0,0
"621",38,"Lecture 6",0,0
"622",38,"Lecture 7",0,0
"623",38,"Lecture 8",0,0
"624",38,"Lecture 9",0,0
"625",39,"Lecture 1",0,0
"626",39,"Lecture 10",0,0
"627",39,"Lecture 11",0,0
"628",39,"Lecture 12",0,0
"629",39,"Lecture 13",0,0
"630",39,"Lecture 14",0,0
"631",39,"Lecture 15",0,0
"632",39,"Lecture 16",0,0
"633",39,"Lecture 2",0,0
"634",39,"Lecture 3",0,0
"635",39,"Lecture 4",0,0
"636",39,"Lecture 5",0,0
"637",39,"Lecture 6",0,0
"638",39,"Lecture 7",0,0
"639",39,"Lecture 8",0,0
"640",39,"Lecture 9",0,0
"641",40,"Lecture 1",0,676
"642",40,"Lecture 10",0,0
"643",40,"Lecture 11",0,0
"644",40,"Lecture 12",0,0
"645",40,"Lecture 13",0,0
"646",40,"Lecture 14",0,0
"647",40,"Lecture 15",0,0
"648",40,"Lecture 16",0,0
"649",40,"Lecture 2",0,0
"650",40,"Lecture 3",0,0
"651",40,"Lecture 4",0,0
"652",40,"Lecture 5",0,0
"653",40,"Lecture 6",0,0
"654",40,"Lecture 7",0,0
"655",40,"Lecture 8",0,0
"656",40,"Lecture 9",0,0
"657",41,"Lecture 1",1,1702
"658",41,"Lecture 10",0,0
"659",41,"Lecture 11",0,0
"660",41,"Lecture 12",0,0
"661",41,"Lecture 13",0,0
"662",41,"Lecture 14",0,0
"663",41,"Lecture 15",0,0
"664",41,"Lecture 16",0,0
"665",41,"Lecture 2",0,61
"666",41,"Lecture 3",0,0
"667",41,"Lecture 4",0,0
"668",41,"Lecture 5",0,0
"669",41,"Lecture 6",0,0
"670",41,"Lecture 7",0,0
"671",41,"Lecture 8",0,0
"672",41,"Lecture 9",0,0
"673",42,"Lecture 1",2,2083
"674",42,"Lecture 10",0,0
"675",42,"Lecture 11",0,0
"676",42,"Lecture 12",0,0
"677",42,"Lecture 13",0,0
"678",42,"Lecture 14",0,0
"679",42,"Lecture 15",0,0
"680",42,"Lecture 16",0,0
"681",42,"Lecture 2",0,1390
"682",42,"Lecture 3",0,3085
"683",42,"Lecture 4",0,2828
"684",42,"Lecture 5",0,1969
"685",42,"Lecture 6",0,3014
"686",42,"Lecture 7",0,956
"687",42,"Lecture 8",0,0
"688",42,"Lecture 9",0,0
"689",43,"Lecture 1",0,96
"690",43,"Lecture 10",0,0
"691",43,"Lecture 11",0,0
"692",43,"Lecture 12",0,0
"693",43,"Lecture 13",0,0
"694",43,"Lecture 14",0,0
"695",43,"Lecture 15",0,0
"696",43,"Lecture 16",0,0
